Country,Number of Immigrants
United States,1376000
Mexico,14000
Guatamela,1000
Honduras,1000
Nicaragua,1000
Costa Rica,7000
Panama,2000
Venezuela,11000
Colombia,3000
Ecuador,3000
Peru,3000
Chile,24000
Argentina,1000
Bolivia,2000
Brazil,15000
Trinidad Tabago,2000
Puerto Rico,13000
Dominican Republic,3000
Cayman Islands,1000
Haiti,1000
St MArtien,1000
Canada,19000
Namibia,1000
South Africa,2000
Congo,1000
Guinea,2000
Australia,1000
RussiA,2000
Spain,162000
Portugal,2000
UK,2000
France,5000
Italy,39000
Switzerland,4000
Germany,16000
Netherlands,2000
Denmark,1000
Austria,1000
Hungary,1000
Sweden,3000
Norway,1000
Finland,1000
Belgium,2000